Var2	F.score	L1	RawMedian
196	LogNormalize+REM	79	1	124
197	LogNormalize+REM	107	1	124
198	LogNormalize+REM	81	1	124
199	LogNormalize+FEM	116	1	124
200	LogNormalize+FEM	117	1	124
201	LogNormalize+FEM	115	1	124
202	LogNormalize+FEM	93	1	124
203	LogNormalize+FEM	128	1	124
204	LogNormalize+FEM	94	1	124
205	deseq2+REM	1	1	124
206	deseq2+REM	1	1	124
207	deseq2+REM	0	1	124
208	deseq2+REM	0	1	124
209	deseq2+REM	2	1	124
210	deseq2+REM	0	1	124
211	deseq2+FEM	1	1	124
212	deseq2+FEM	1	1	124
213	deseq2+FEM	0	1	124
214	deseq2+FEM	0	1	124
215	deseq2+FEM	2	1	124
216	deseq2+FEM	0	1	124
217	voom+modt_Fisher	120	1	124
218	voom+modt_Fisher	112	1	124
219	voom+modt_Fisher	165	1	124
220	voom+modt_Fisher	126	1	124
221	voom+modt_Fisher	135	1	124
222	voom+modt_Fisher	102	1	124
223	voom+modt_wFisher	123	1	124
224	voom+modt_wFisher	114	1	124
225	voom+modt_wFisher	165	1	124
226	voom+modt_wFisher	129	1	124
227	voom+modt_wFisher	134	1	124
228	voom+modt_wFisher	110	1	124
229	edgeR_Fisher	310	1	124
230	edgeR_Fisher	326	1	124
231	edgeR_Fisher	364	1	124
232	edgeR_Fisher	434	1	124
233	edgeR_Fisher	468	1	124
234	edgeR_Fisher	474	1	124
235	edgeR_wFisher	289	1	124
236	edgeR_wFisher	288	1	124
237	edgeR_wFisher	324	1	124
238	edgeR_wFisher	394	1	124
239	edgeR_wFisher	435	1	124
240	edgeR_wFisher	434	1	124
241	deseq2_Fisher	257	1	124
242	deseq2_Fisher	250	1	124
243	deseq2_Fisher	201	1	124
244	deseq2_Fisher	238	1	124
245	deseq2_Fisher	315	1	124
246	deseq2_Fisher	260	1	124
247	deseq2_wFisher	247	1	124
248	deseq2_wFisher	245	1	124
249	deseq2_wFisher	212	1	124
250	deseq2_wFisher	235	1	124
251	deseq2_wFisher	315	1	124
252	deseq2_wFisher	276	1	124
253	LogNormalize+limma_trend_Fisher	196	1	124
254	LogNormalize+limma_trend_Fisher	165	1	124
255	LogNormalize+limma_trend_Fisher	164	1	124
256	LogNormalize+limma_trend_Fisher	150	1	124
257	LogNormalize+limma_trend_Fisher	198	1	124
258	LogNormalize+limma_trend_Fisher	137	1	124
259	LogNormalize+limma_trend_wFisher	189	1	124
260	LogNormalize+limma_trend_wFisher	151	1	124
261	LogNormalize+limma_trend_wFisher	162	1	124
262	LogNormalize+limma_trend_wFisher	149	1	124
263	LogNormalize+limma_trend_wFisher	184	1	124
264	LogNormalize+limma_trend_wFisher	120	1	124
265	Combat	58	2	124
266	Combat	22	2	124
267	Combat	38	2	124
268	Combat	26	2	124
269	Combat	19	2	124
270	Combat	56	2	124
271	limma_bec	48	2	124
272	limma_bec	20	2	124
273	limma_bec	30	2	124
274	limma_bec	25	2	124
275	limma_bec	22	2	124
276	limma_bec	53	2	124
277	MNN	46	2	124
278	MNN	24	2	124
279	MNN	31	2	124
280	MNN	35	2	124
281	MNN	21	2	124
282	MNN	42	2	124
283	mnn_limma_trend_false	55	2	124
284	mnn_limma_trend_false	59	2	124
285	mnn_limma_trend_false	65	2	124
286	mnn_limma_trend_false	44	2	124
287	mnn_limma_trend_false	72	2	124
288	mnn_limma_trend_false	45	2	124
289	scmerge	27	2	124
290	scmerge	68	2	124
291	scmerge	52	2	124
292	scmerge	30	2	124
293	scmerge	43	2	124
294	scmerge	33	2	124
295	scmerge_limma_trend_false	53	2	124
296	scmerge_limma_trend_false	83	2	124
297	scmerge_limma_trend_false	76	2	124
298	scmerge_limma_trend_false	56	2	124
