"pvalue" "adjpvalue" "logFC"
"SLC8A3" 1.10115951874932e-21 9.76393726108179e-21 -1.73547364958243
"GUCA2A" 1.10492008227891e-21 9.79189890498715e-21 -1.98846435693199
"LPAR2" 1.13831690364358e-21 1.00823247330408e-20 0.94494410561796
"ALPK2" 1.13899028718786e-21 1.00827521087008e-20 2.23236319973094
"ARHGAP25" 1.14036942691061e-21 1.00894231961828e-20 -1.08411244843246
"ADAMTS16" 1.1656017664436e-21 1.03070125498732e-20 2.39652416201245
"TLN1" 1.17656333168621e-21 1.039824108316e-20 -0.820041596720229
"DDO" 1.25145414357719e-21 1.10540546997571e-20 -1.69762744206761
"BRCC3" 1.25651987825919e-21 1.1092725296356e-20 0.741133107518367
"DLG5" 1.28940636779477e-21 1.1376824565734e-20 1.13657130461514
"NXPE3" 1.30934269608289e-21 1.15464124358234e-20 -1.10954231986216
"FBXL3" 1.34564481514311e-21 1.18600574991493e-20 -0.731871802243352
"HCK" 1.37644193828787e-21 1.21245811629163e-20 -1.61515364814174
"USP21" 1.37716118113104e-21 1.21245811629163e-20 0.756485107327112
"ZBTB16" 1.38149073800619e-21 1.21560633460457e-20 -3.05028178022699
"SFTPA2" 1.38738628276787e-21 1.22012831814411e-20 -4.66318055079639
"SUSD6" 1.45072615852579e-21 1.27513690522411e-20 -0.782235069383166
"STON1" 1.46031196494561e-21 1.28286338140565e-20 -1.27531020731364
"MTFR1" 1.47325986351602e-21 1.29353338805933e-20 1.09504936700756
"SMARCA5" 1.47692152776465e-21 1.29604283576257e-20 -0.58899391977876
"TRIM11" 1.47855214700889e-21 1.29676822072356e-20 0.773434573311909
"CCND2" 1.48175188650654e-21 1.29886827051435e-20 -1.44027513752862
"BMP2" 1.52609395176051e-21 1.33701082824255e-20 -2.11286635849145
"TRMU" 1.54880443773409e-21 1.35617083475641e-20 0.88658776995307
"PTGFRN" 1.57035062239759e-21 1.37429111170107e-20 1.11796856935699
"PDIK1L" 1.57736366737239e-21 1.37967996697664e-20 0.883838538244048
"TTLL7" 1.63077774104509e-21 1.42562678511199e-20 -2.0171252606439
"KIF26A" 1.65737844260322e-21 1.44809625681188e-20 -1.98195877500931
"KCNE1" 1.67923021401454e-21 1.4663943758441e-20 -1.95350856157712
"DNMT3A" 1.70268210434139e-21 1.4860692457209e-20 0.902727926797146
"CATSPERD" 1.74058195549288e-21 1.51832592537289e-20 -2.55546291860221
"LAMB2" 1.77480756185783e-21 1.54734438730837e-20 -1.00239593269638
"COPA" 1.79970878503842e-21 1.56820653667665e-20 0.683396082259319
"RNF34" 1.83013116951424e-21 1.59385451582588e-20 0.596121267234363
"SPTAN1" 1.83386075938654e-21 1.59624070092528e-20 -0.773450880374407
"NCKAP1L" 1.86584226757126e-21 1.62320226179379e-20 -1.48294051437702
"ZDHHC13" 1.86712586469499e-21 1.62344329227308e-20 0.863788946674236
"ATXN2L" 2.00573037602027e-21 1.7430186010146e-20 0.673699581352144
"RAB44" 2.0166222058656e-21 1.7515400946907e-20 -1.64732416951651
"HSPB7" 2.04878122815211e-21 1.77851412426617e-20 -1.70724497877065
"EHD2" 2.17006753695032e-21 1.88278748270423e-20 -1.42686988372888
"NAT10" 2.17743102370002e-21 1.88816048286331e-20 0.672339427238229
"TMPRSS11E" 2.22156458223874e-21 1.92539576286559e-20 4.0599168567162
"GIPC3" 2.23832293128321e-21 1.93887811808093e-20 -1.2494480135643
"RASSF8" 2.23960679672523e-21 1.93894890093297e-20 -1.5605688737477
"C11orf97" 2.24806628336253e-21 1.94522859894604e-20 -2.46215522628185
"CNTNAP3B" 2.27297503647407e-21 1.96572731170458e-20 -1.89367165956854
"SCLY" 2.37611422014536e-21 2.05382348642683e-20 0.902602822956997
"TEX11" 2.4483353366499e-21 2.1151151925456e-20 1.63936571627091
"SORD" 2.47284448078345e-21 2.13514500163577e-20 1.21306651499856
"IBA57" 2.47844034276853e-21 2.13883169012914e-20 -0.855674037152162
"AIMP2" 2.49443770072021e-21 2.15148586496879e-20 0.969330011490039
"PPIL1" 2.52588070478965e-21 2.17744146913695e-20 0.981386618370554
"ABHD11" 2.56682458256767e-21 2.21155521860224e-20 1.27452554017708
"APH1B" 2.58842158899892e-21 2.22897233363393e-20 -1.06016180121977
"RBM28" 2.59844221492996e-21 2.23640738978684e-20 0.744563432013323
"CHD1L" 2.63636393784824e-21 2.26783541085623e-20 0.852331533147465
"HDAC1" 2.64364601275658e-21 2.2728873422042e-20 0.729893167673479
"SCARF1" 2.78561766946665e-21 2.39367221048629e-20 -1.3256626834621
"ZNF385B" 2.84259547827423e-21 2.44133239984478e-20 -3.16934134384523
"PACRG" 2.97163492845195e-21 2.55079828424702e-20 -2.42872529418372
"RAB8B" 3.01840188317484e-21 2.58956404115569e-20 -1.04989332976462
"DDX52" 3.1915710876316e-21 2.73667464499788e-20 0.655442304976684
"BUB3" 3.3533940466373e-21 2.87390502540983e-20 0.657735451720124
"HMBS" 3.41469802691356e-21 2.92488924461438e-20 1.07202526163005
"ADCY9" 3.44783070572244e-21 2.95170177561557e-20 -1.24947491962839
"TTC7B" 3.48587446068848e-21 2.98268801997053e-20 -1.00656977557994
"PPARG" 3.4918547963443e-21 2.98622089131693e-20 -2.05268190492869
"STEAP1" 3.51404960927429e-21 3.00360922882803e-20 2.2571183113602
"MICALL2" 3.54476369044394e-21 3.02825707432046e-20 1.40040196772302
"MPZL1" 3.64070179261652e-21 3.10856957189581e-20 0.668256475044981
"HYOU1" 3.64310186256964e-21 3.10897301277173e-20 1.02396075861459
"CCDC34" 3.68924724368132e-21 3.14668793195854e-20 1.2929047696701
"ANXA8" 3.69484111278777e-21 3.149793462376e-20 -3.04899518703457
"GPC5" 3.75585710236735e-21 3.20011723212271e-20 -2.65157216945349
"DLG3" 3.75795496219806e-21 3.20021412805135e-20 0.772077236541757
"TPST2" 3.83570216747577e-21 3.26469869441777e-20 -0.752238758817299
"GAB2" 3.91288912664509e-21 3.32863864576258e-20 -1.11200496641325
"TCF4" 4.06259111269067e-21 3.45416616007315e-20 -1.25664254531772
"TRPM8" 4.267227765362e-21 3.62624429017511e-20 3.59355732373208
"FAR2" 4.29398098478956e-21 3.64705736196266e-20 -1.49178475224876
"DHRS13" 4.30762641610474e-21 3.65672139291333e-20 1.08428855376324
"SLC17A9" 4.58002813280075e-21 3.88591655728266e-20 2.01732619747433
"TMED3" 4.65082138832955e-21 3.94390631821069e-20 1.10110211868389
"SLC38A7" 4.70739818272562e-21 3.98978587962068e-20 0.814382453634573
"FANCB" 4.77429630177496e-21 4.04436055941851e-20 1.40860639543373
"HBD" 4.80956887705641e-21 4.0721016492411e-20 -1.40980229168288
"ALG6" 4.88273433228202e-21 4.13187943574904e-20 0.694996536249608
"ENTPD7" 4.8938185887259e-21 4.1390875730236e-20 1.05622838044723
"MTHFD1L" 4.90926090133621e-21 4.14997217388111e-20 0.821489890172769
"IFNGR1" 5.30815484128536e-21 4.48482081901999e-20 -0.982226249514359
"LILRA6" 5.36589864555525e-21 4.53123451592464e-20 -1.59991894195681
"MYOM2" 5.48789036479689e-21 4.63182541568859e-20 -1.7277639880271
"STRBP" 5.5068446805032e-21 4.64539214706256e-20 0.754421765293082
"SOX12" 5.7032102526787e-21 4.80852473421091e-20 1.2478066624274
"CREB3L4" 5.74276861061465e-21 4.83934769700124e-20 1.21346553187787
"THRA" 5.7622050834153e-21 4.85319090289323e-20 -0.972603787581076
"PRIMA1" 5.9054856313196e-21 4.97127232502891e-20 -2.32939120425703
"HECA" 5.95553002089398e-21 5.01078475258211e-20 -0.822890553607074
"KANK4" 6.09242842593998e-21 5.12329395630792e-20 -2.28621317660636
"THEMIS2" 6.12077277215029e-21 5.14444731849984e-20 -1.16445788007729
"COL5A1" 6.1611320488535e-21 5.17567181333115e-20 1.78904073568819
"RBM45" 6.22858967011168e-21 5.22961597028794e-20 0.416237946809205
"SRRM3" 6.3563942614498e-21 5.33414583990239e-20 1.84452492934034
"NKPD1" 6.37660935371855e-21 5.34554094863775e-20 1.58512026348415
"SDC2" 6.37946364452907e-21 5.34554094863775e-20 -1.35263470998379
"ZNF438" 6.37991588203091e-21 5.34554094863775e-20 -0.637895360891948
"CHTOP" 6.39639662700962e-21 5.35656704034466e-20 0.573042489567114
"RPGR" 6.47427282974184e-21 5.41896971826186e-20 -0.989750456287595
"MSH5" 6.51112441272728e-21 5.44562362571175e-20 1.65251064649586
"CKAP4" 6.51286996961868e-21 5.44562362571175e-20 0.991295680413943
"WDR88" 6.63979564713857e-21 5.54887378200507e-20 1.21940346581486
"GALNT13" 6.6785633729516e-21 5.57838159722094e-20 -2.88677277380509
"TNNI2" 6.70343433082386e-21 5.5962573665558e-20 -2.02595877717734
"EID1" 6.82019848738373e-21 5.69079055369954e-20 -0.655730834200892
"AK1" 6.85464999278153e-21 5.71657961393864e-20 -1.48432460962134
"PCDHGA12" 6.97559840804046e-21 5.81392165091306e-20 -1.4842013972322
"LYPD2" 6.97858039318475e-21 5.81392165091306e-20 -1.82899812930225
"GSDMB" 7.03796563648586e-21 5.86036901140322e-20 1.60504590386713
"SBK1" 7.04322470411691e-21 5.86172194286386e-20 2.10450993566017
"SERPINH1" 7.10208739515512e-21 5.9076620730509e-20 1.06400382011055
"BAIAP2L2" 7.16315993556161e-21 5.9553920928182e-20 2.44066006689055
"MRPL19" 7.21600897655045e-21 5.99623950452252e-20 0.672261678370349
"HDHD3" 7.25313453018662e-21 6.02398593395366e-20 1.07271782810593
"PPP3CC" 7.43327683331124e-21 6.17042316235085e-20 -0.716720066593788
"TMEM252" 7.47340897857732e-21 6.20054595758609e-20 -1.54979907996645
"PRDM12" 7.49917485110279e-21 6.21872448192478e-20 1.23179292355842
"HBG2" 7.63253472373028e-21 6.326061282582e-20 -1.24148739639981
"PRPF3" 7.72141625218207e-21 6.39644184547738e-20 0.802009072627557
"RAB19" 7.85487928699827e-21 6.50366262936319e-20 1.28573277432133
"TMSB15A" 7.9945122811109e-21 6.615879352593e-20 -1.91445759589163
"EVI2B" 8.72104757864031e-21 7.21034277920183e-20 -1.37745362980403
"GALNT14" 8.72331837702786e-21 7.21034277920183e-20 2.7591806213819
"CCDC137" 8.72626269762662e-21 7.21034277920183e-20 0.960223024427137
"CLNS1A" 8.85371672453068e-21 7.31190973118051e-20 0.694972832289421
"TMEM63C" 8.88065946746626e-21 7.33040719297663e-20 3.05368364411394
"COPB2" 9.17123379817031e-21 7.56638516269508e-20 0.646377712038868
"NKRF" 9.27301305847197e-21 7.64644312986168e-20 0.616704556092702
"B3GNT6" 9.33735543733359e-21 7.69556493861796e-20 4.08321087209843
"COASY" 9.35001373579957e-21 7.70206187664511e-20 0.802121422510854
"LNX2" 9.42924971673865e-21 7.76336746714026e-20 -0.990302245677842
"NELFCD" 9.79291642117013e-21 8.05867086515577e-20 0.765740747298889
"OVOL1" 1.02892584375648e-20 8.46279700864268e-20 2.03599512508248
"DROSHA" 1.0323116693572e-20 8.48631748983804e-20 0.825764541576412
"PXDC1" 1.04215023045538e-20 8.56283294295199e-20 -1.16396847932283
"SEC61A1" 1.06443560700944e-20 8.74148773190186e-20 0.67524138028305
"ABCB9" 1.09511622686931e-20 8.98887003723926e-20 1.12893670728624
"SCN1A" 1.1232809653741e-20 9.21536047330565e-20 -2.90247912951538
"ZMYND15" 1.19775853541659e-20 9.82137641979366e-20 -1.29815814487976
"SLC35B2" 1.25231879108766e-20 1.02635415556163e-19 0.92969547562518
"SLC37A4" 1.25347842429047e-20 1.02678280880553e-19 0.812306450612166
"ESRP1" 1.27606334517425e-20 1.04475257331551e-19 1.07022936548081
"TTC9C" 1.3165727197016e-20 1.07737196327078e-19 0.639496422445003
"ZHX3" 1.33688694658108e-20 1.09344064713014e-19 -0.860328980500599
"PHKG2" 1.3925430630909e-20 1.13838454458151e-19 0.80734970880286
"ARL6" 1.53337836198391e-20 1.25288042555413e-19 -0.874726865828926
"GET4" 1.5341675458627e-20 1.25289054922631e-19 0.940355065134993
"FOXO4" 1.56493502962882e-20 1.27737029822283e-19 -0.935836524735179
"DSN1" 1.5912949931399e-20 1.29822948631024e-19 0.93448806684406
"F2RL3" 1.62029004113352e-20 1.32121628278274e-19 -1.60827521851072
"CCT6A" 1.71618565294354e-20 1.39870431512514e-19 0.942775270646574
"TRIM46" 1.72495670322646e-20 1.40514276092624e-19 1.64294340629124
"SGCB" 1.73457211550982e-20 1.41226217319828e-19 -1.00081674585926
"PDPN" 1.73743262939607e-20 1.41331899478893e-19 -1.72636968663495
"SRSF1" 1.73762264657848e-20 1.41331899478893e-19 0.426471626122289
"TRIM35" 1.7709881920266e-20 1.4397312776813e-19 -0.64584266607369
"SCN8A" 1.83943062461441e-20 1.49461846571314e-19 2.25905148991146
"PIK3R5" 1.88182844165183e-20 1.52829863723073e-19 -1.33099616098739
"NDC1" 1.88927053002169e-20 1.5335704267096e-19 0.910392579472021
"AADAC" 1.90776996324299e-20 1.54780793446409e-19 -3.1435932973042
"FOXD2" 1.9119890019544e-20 1.55045101118766e-19 1.17721431849088
"MCC" 2.01147936846138e-20 1.63030908210621e-19 -1.3639445122892
"SMG5" 2.04312716504598e-20 1.65512797815302e-19 0.754830803113747
"MGAT4C" 2.10018478360904e-20 1.70049600275252e-19 -1.94710249195227
"RECQL5" 2.11454995616564e-20 1.71126825102838e-19 0.840549784660536
"ONECUT2" 2.11785971256131e-20 1.7130872268757e-19 3.04452974673499
"PMS2" 2.13774601673254e-20 1.7283060402947e-19 0.752823534859461
"RIN2" 2.14780739214283e-20 1.73557041221802e-19 -0.784035765049153
"KPNB1" 2.18830992276685e-20 1.76741365770188e-19 0.679087507953808
"GNGT2" 2.21576338400312e-20 1.78869107210142e-19 -1.27806501811874
"STAT5B" 2.28328175638863e-20 1.84227370929426e-19 -0.557555786744713
"DUSP12" 2.28528081004763e-20 1.84296470926291e-19 0.653100235178485
"MED20" 2.29568942387149e-20 1.8504335191216e-19 0.770067082703422
"KRTCAP2" 2.31910319667487e-20 1.86837240055789e-19 0.972896908194818
"METTL18" 2.37219727855021e-20 1.9101932054786e-19 0.706877539682493
"VSTM4" 2.43431185948958e-20 1.95923233441654e-19 -1.41815454489957
"FAM222B" 2.43571650740205e-20 1.95938511460787e-19 0.765727492198612
"PODXL2" 2.46562235770104e-20 1.982453789001e-19 2.54499591379306
"ZNF331" 2.46696784333194e-20 1.9825473016991e-19 -1.2160197293088
"MSH2" 2.47449255483498e-20 1.98760410442895e-19 0.865074322495324
"ISG20L2" 2.5374846006262e-20 2.03718711416127e-19 0.637025570916046
"COL22A1" 2.54590354243784e-20 2.04292926547164e-19 2.40666824574537
"IL11RA" 2.56809155597827e-20 2.05970903562275e-19 -1.06022353241567
"NDNF" 2.66425954578635e-20 2.13577744602326e-19 -2.52219036070706
"STT3A" 2.7795927028217e-20 2.22712621479439e-19 0.734444825563556
"TUBA1A" 2.79748072850875e-20 2.24034591212103e-19 -1.27366987919123
"ARHGEF37" 2.80564394876825e-20 2.24576830023241e-19 -1.59613468691828
"MTURN" 2.90177672542211e-20 2.32156531767526e-19 -1.42770689244119
"MAP6" 2.92717393900834e-20 2.34072327527345e-19 -1.67397457662785
"TUBG1" 2.99529327804981e-20 2.39400819036994e-19 1.05235178822987
"WNT2B" 3.03489332017274e-20 2.42445737300971e-19 -1.29705552664382
"PABPC1" 3.08018928376386e-20 2.45942440385284e-19 0.960464220524215
"FAM72B" 3.08649034054724e-20 2.46323615550156e-19 1.66540474381645
"CPT1B" 3.12795801988844e-20 2.4950956925213e-19 1.79890366043373
"VAMP3" 3.38266286121544e-20 2.69693372657162e-19 -0.581236283615845
"CCL24" 3.39305076166502e-20 2.70387923591379e-19 -2.28540935619927
"CASP5" 3.40205991382844e-20 2.70971972099452e-19 -1.56578323057194
"KMO" 3.41703039797418e-20 2.72030026105259e-19 -1.42221319865052
"PAQR4" 3.44285070572088e-20 2.73950365232225e-19 1.26711716995554
"TSPAN6" 3.4563149564072e-20 2.74886114062582e-19 1.04749352953768
"PAFAH1B1" 3.48109015938587e-20 2.76720074818801e-19 -0.53168597086645
"STAC3" 3.50527878503222e-20 2.78505623269875e-19 -1.10821984089429
"ICA1" 3.51251823554e-20 2.78943410246306e-19 1.06354184548628
"IL23A" 3.60403292361201e-20 2.86070113311704e-19 1.51387904850629
"LRRC4B" 3.78207310324284e-20 3.00054388008872e-19 -1.56954127726472
"RGS22" 3.79934381990981e-20 3.01276383831491e-19 -2.28535926125673
"NFAM1" 3.90525702482226e-20 3.09522803702006e-19 -1.48542468385183
"C8orf76" 3.94573330747159e-20 3.12577271690615e-19 0.976510546378955
"ZNF7" 4.06539262700856e-20 3.21898466769863e-19 0.704384828480762
"GALC" 4.0740631654776e-20 3.22426716368931e-19 -0.854446593015356
"PLA2G5" 4.24427602808973e-20 3.35732849715838e-19 -1.37888362051076
"PRIM2" 4.3025923378494e-20 3.40178979495946e-19 0.840894655767875
"ARHGAP39" 4.42448770059949e-20 3.49645086344778e-19 1.23005488226001
"E2F5" 4.43547897956664e-20 3.50342019889473e-19 1.07157976369775
"FKBP3" 4.50001585560932e-20 3.55265568943332e-19 0.894255608129004
"TPSAB1" 4.50515956284553e-20 3.55497644760937e-19 -2.23763031564757
"CCDC102B" 4.68162466341086e-20 3.69241683110776e-19 -1.12877822302243
"DUSP3" 4.69493965769334e-20 3.70110858939081e-19 -0.62167376830894
"NME4" 4.86099326162224e-20 3.83013973213019e-19 1.24269456216513
"PRELP" 4.87723439433616e-20 3.84106023175039e-19 -1.79081709691362
"OSBPL6" 4.92898561367783e-20 3.87992235056172e-19 -1.79896773191418
"ACER3" 5.04733101852754e-20 3.97114156086979e-19 -0.756279502983785
"LYSMD1" 5.07339351511463e-20 3.98970082912159e-19 0.943084701348108
"KLHL17" 5.1732052794606e-20 4.06620993920176e-19 1.28969021352132
"RGS13" 5.28303338797503e-20 4.15051366364585e-19 -1.85498467480292
"LCLAT1" 5.43093251372538e-20 4.26463050213615e-19 0.741106655236697
"RAC3" 5.4477999193246e-20 4.27579391234971e-19 1.8065298209398
"UACA" 5.54018864715063e-20 4.3461917650726e-19 -1.06957943820255
"IGFBP3" 5.56587113330668e-20 4.36421660228991e-19 1.92206179386705
"METAP1" 5.57273752935706e-20 4.36747733775511e-19 0.628357827196218
"TRIM45" 5.63502474919779e-20 4.41414833316227e-19 1.18864656676542
"PCGF3" 5.75147928138635e-20 4.50318491890682e-19 0.715721511314789
"MROH9" 5.93124163497884e-20 4.64167861865957e-19 -2.34151879892012
"TNFRSF18" 5.95272615795046e-20 4.65623279348123e-19 2.04823677004306
"SEC24D" 6.05466587010193e-20 4.73367454284411e-19 0.824436969868205
"CXCL16" 6.08390778103144e-20 4.75423200582636e-19 -1.13102614473703
"RPL39L" 6.13770862720389e-20 4.7939516924054e-19 1.89582832457154
"DSCC1" 6.28889501098254e-20 4.90966058238806e-19 1.41643910001153
"FUT3" 6.58870581248038e-20 5.14123057810818e-19 1.94203010400972
"BEST1" 6.62870204070867e-20 5.16993884016394e-19 -1.08361992926484
"TMEM109" 6.749897750402e-20 5.26191884080395e-19 -0.760995696103904
"ROBO2" 6.75700080336038e-20 5.26491139890819e-19 -2.37090468672208
"DNAJC2" 6.78169096793685e-20 5.28159795373508e-19 0.733412097994708
"FCER1G" 6.85239871677485e-20 5.33408971538907e-19 -1.42817988450666
"ORC2" 6.89375306722713e-20 5.36369238887151e-19 0.572102483351082
"CASP3" 7.09415464540085e-20 5.51695372592432e-19 0.673152522776236
"CCDC178" 7.11498479329543e-20 5.53048625209938e-19 -1.64569687703283
"RAPGEF1" 7.36991091776925e-20 5.72588117498556e-19 -0.738699582639136
"ACRV1" 7.51787245247074e-20 5.83802430360619e-19 1.43742885663367
"ATF3" 7.52490483346586e-20 5.84067324634123e-19 -1.77724247541271
"METTL21A" 7.5955280781886e-20 5.89265379380009e-19 0.728118681708689
"MS4A14" 7.67302636553544e-20 5.94991549277506e-19 -1.66472705351089
"LPA" 7.85012624340012e-20 6.08431937432968e-19 -1.29699634537408
"LGI2" 8.00289675037566e-20 6.19974647871321e-19 2.0283041400439
"POLR1C" 8.21195604043019e-20 6.35864805454146e-19 0.806727114998134
"NSUN5" 8.47703848347603e-20 6.56075593569985e-19 0.911044177799545
"SYVN1" 8.89371944606815e-20 6.87994249139727e-19 0.751527589606009
"STX7" 8.9204934980142e-20 6.89734609920762e-19 -0.672520736846008
"TMEM232" 9.16446170663635e-20 7.08258758343736e-19 -2.22935932419352
"IL6" 9.64472008768348e-20 7.45017673823021e-19 -2.33427355535342
"MTA3" 9.71257325383192e-20 7.49899923461249e-19 0.688045013268716
"ARHGEF19" 9.76821778710783e-20 7.53637020714173e-19 1.36809510597993
"DHCR24" 9.77032060458388e-20 7.53637020714173e-19 -1.11477354660249
"TNFSF11" 1.00255218248151e-19 7.72952397287015e-19 2.44293710846238
"LMBRD1" 1.0212641547646e-19 7.87002845303306e-19 -0.737161433423848
"INCENP" 1.02659185899124e-19 7.90730663499031e-19 1.08049221554445
"VIP" 1.03015093067678e-19 7.93093286915788e-19 -1.35919034701558
"ALPP" 1.03125472364367e-19 7.93564286147368e-19 -3.01183809058168
"PACSIN1" 1.05880863816188e-19 8.1437885192718e-19 1.97595375826929
"CNN1" 1.06841945986904e-19 8.21379288285403e-19 -1.68140934833825
"RHPN1" 1.08692881362968e-19 8.35210806814346e-19 1.68456195456391
"JPH2" 1.10474313240418e-19 8.48217162921964e-19 -1.68017958547258
"VGLL3" 1.10490685057911e-19 8.48217162921964e-19 -1.7063155974915
"CANT1" 1.10669630401373e-19 8.49186712056964e-19 0.880368986957511
"ZNF587" 1.11308339075347e-19 8.53681503065277e-19 0.970339248953037
"STX6" 1.14851660154674e-19 8.80438415700919e-19 0.594945516398215
"EPHB2" 1.15561247022514e-19 8.85457174929276e-19 1.81563589858706
"SEMA3B" 1.18258464994438e-19 9.05693628630246e-19 -2.2093540556636
"PSMD11" 1.18777933812948e-19 9.09240291632194e-19 0.751628508670939
"PKDCC" 1.19263306310761e-19 9.12522707536176e-19 -1.70545065859526
"MID1IP1" 1.20209982882851e-19 9.19329925992176e-19 -1.11881381504036
"CADM1" 1.231958143063e-19 9.41718146420052e-19 -1.86080202622381
"TAF1A" 1.24201896937387e-19 9.4895897475278e-19 0.814358837400925
"ACTL6A" 1.24271674412711e-19 9.49042536270175e-19 0.873523911243208
"HGH1" 1.25850603640447e-19 9.60645710419675e-19 1.05544747801001
"TEX14" 1.28585536166322e-19 9.81057763872566e-19 -1.22988837831848
"BEAN1" 1.30138133933679e-19 9.92434024688559e-19 2.17190237983094
"LRRC20" 1.34013881289301e-19 1.02150751007332e-18 1.0950146424657
"DAP" 1.34578585493556e-19 1.02532735258647e-18 0.906426283792156
"PIGM" 1.35681156624598e-19 1.03323955391791e-18 0.771907884705478
"CELF2" 1.36676071762704e-19 1.0398872278868e-18 -1.36826277494598
"MTM1" 1.36683050599543e-19 1.0398872278868e-18 -0.755063577956386
"PLA2G3" 1.39103654095753e-19 1.05780426068383e-18 -2.78743149880942
"ACR" 1.40497870770499e-19 1.06790299606851e-18 -1.29393033622788
"CPAMD8" 1.4141631664429e-19 1.07437765951755e-18 -2.38186098741891
"SPINK1" 1.46282718237784e-19 1.11082578270114e-18 4.50831620142513
"NT5DC1" 1.47457171855532e-19 1.11921728228606e-18 -0.68462666817821
"THNSL1" 1.49599069639508e-19 1.13494044883143e-18 0.931067943653618
"CDK5RAP1" 1.51560710513096e-19 1.14928194634026e-18 0.618075598482926
"DENND2C" 1.51830829705852e-19 1.15078921631846e-18 -1.23532919665944
"PLAGL1" 1.52667970062962e-19 1.1565907417311e-18 -1.46207981068157
"IL11" 1.56749248817615e-19 1.18695241041283e-18 2.03473049834412
"CDKL1" 1.63052436181561e-19 1.23410264813346e-18 -1.34077419054326
"LAPTM5" 1.64559004635077e-19 1.24492128787953e-18 -1.29644316818318
"ZNF25" 1.66543002907883e-19 1.25933994088197e-18 -0.760607533119155
"GRIN1" 1.699574683817e-19 1.28455670455878e-18 2.16558592236495
"YWHAZ" 1.72673140734364e-19 1.30447076670003e-18 0.789043648144297
"C1orf109" 1.76712848029408e-19 1.33436401023704e-18 0.623015097619191
"GGTLC2" 1.77596416714047e-19 1.34040833185815e-18 -1.70483045095941
"DHRS11" 1.82079349234756e-19 1.37348345627833e-18 0.964283806726208
"KCNAB2" 1.82148993302706e-19 1.37348345627833e-18 -1.13676872946409
"SEC61A2" 1.8308933858418e-19 1.37992894487114e-18 0.95179155397395
"CCDC81" 1.86545202143986e-19 1.40531880681007e-18 -1.68363615715103
"TAF4" 1.96329556509959e-19 1.47833772966813e-18 0.709098410654297
"LNP1" 1.97395937828761e-19 1.48567385965473e-18 -0.915239421891186
"ATAD3A" 2.01023018343891e-19 1.51226691365141e-18 1.08963102960529
"LSM8" 2.0144139484663e-19 1.5147078123456e-18 0.677160236099011
"POP1" 2.03024497815959e-19 1.52590033796533e-18 0.800680452727596
"TPPP" 2.18554466690121e-19 1.64185607510245e-18 -2.07482647502764
"REPS2" 2.1952067937801e-19 1.64834685181002e-18 -1.26562621179468
"STARD7" 2.24432146074551e-19 1.68444210518214e-18 -0.521331632437767
"ARHGEF10" 2.3423633896598e-19 1.75720833078246e-18 -1.07458037553421
"HSP90B1" 2.34904165993781e-19 1.76139902060144e-18 0.850229021081311
"NKD1" 2.39028879587079e-19 1.79149479500929e-18 -1.99585686414185
"ACY3" 2.41692747244244e-19 1.81061882039128e-18 2.14295513105792
"NETO1" 2.42344106740175e-19 1.81465556992214e-18 2.62541923606964
"KDM1A" 2.4272128260176e-19 1.81663645804352e-18 0.627817530523868
"CTTN" 2.43463304843451e-19 1.82134491828387e-18 0.802818982355316
"RASGRP2" 2.45016027072362e-19 1.83211103414471e-18 -1.48365507687704
"PCSK9" 2.49364531350397e-19 1.86376298709479e-18 -3.02598498077543
"P2RX6" 2.52617110849228e-19 1.88719841634423e-18 -1.66195593085573
"SGK1" 2.53897103673545e-19 1.89588258571787e-18 -1.28493963630048
"YBX2" 2.57119431019946e-19 1.91905567002346e-18 3.05850420590869
"IL20RA" 2.63048342882355e-19 1.96239903901457e-18 -2.184395906939
"FBLN1" 2.67276314227905e-19 1.99301880359773e-18 -1.4967056950049
"ATP6V1C2" 2.68733364120636e-19 2.00295768479748e-18 2.01866469893357
"CXCL12" 2.70382110654185e-19 2.01431550242095e-18 -1.58598273204674
"SORT1" 2.93243710364705e-19 2.18362317842675e-18 -0.922087639728502
"L2HGDH" 2.99889784244257e-19 2.23208229352821e-18 0.857461431567455
"CKAP5" 3.06653378094461e-19 2.2813710033605e-18 0.777798196805824
"VPS72" 3.08373658133667e-19 2.29311144861131e-18 0.861144157716411
"ARAP2" 3.11149166156001e-19 2.31268428614292e-18 -1.23477311158347
"GBP4" 3.16618347847839e-19 2.35225118951534e-18 -1.58546517263558
"DRP2" 3.23753111181753e-19 2.404150059968e-18 1.94495561141995
"SSH2" 3.25728426626198e-19 2.41770538106486e-18 -0.760399994290723
"TJP2" 3.33807400827935e-19 2.47653153999713e-18 -0.824110285009181
"CES1" 3.46960741161894e-19 2.57293323871273e-18 -2.74587188860927
"TRAF5" 3.47494035280568e-19 2.57570372014719e-18 1.18786219873072
"AQP9" 3.52016355712542e-19 2.60802563219457e-18 -1.99366883077793
"NSMF" 3.60013729790251e-19 2.66588456776685e-18 1.0863569831078
"LRCH2" 3.60156393648953e-19 2.66588456776685e-18 -1.78282982161385
"CDKL5" 3.61193573835726e-19 2.67233539100754e-18 -1.08273927414907
"IQCC" 3.70046963783469e-19 2.73658297976321e-18 0.858145035546853
"ZDHHC14" 3.73623960806911e-19 2.7617694151488e-18 -1.07081615329872
"CISD2" 3.8454079901962e-19 2.84116287099746e-18 0.696109888288892
