"pvalue" "adjpvalue" "logFC"
"ARHGEF15" 7.17344786743962e-63 1.39398241751727e-60 -2.4967155849669
"RSPO1" 1.44278096522035e-62 2.77031121286178e-60 -3.79761356966138
"CLEC4M" 2.63909047858775e-62 5.00775180342845e-60 -3.16634438397494
"OTX1" 3.21402819390552e-62 6.02779776040722e-60 3.41605866368045
"PLAC9" 5.46168995251995e-62 1.01254709476085e-59 -2.72979413996878
"ALDH18A1" 6.28113328563339e-62 1.15123180413615e-59 1.57582697373012
"ADM2" 6.94474180641538e-62 1.25855888309746e-59 3.27497447456094
"LMO2" 7.56698597401488e-62 1.3560879641654e-59 -1.97530605837879
"CLEC14A" 8.14707949677568e-62 1.4440026945439e-59 -2.35782379187627
"FCN3" 9.10050589247337e-62 1.59545716890982e-59 -4.69694457986544
"SAPCD2" 1.25100394895152e-61 2.16961749383216e-59 3.34219098942325
"ODAM" 1.4050526427636e-61 2.41086107182278e-59 -3.94622622745698
"RASIP1" 2.22848672459377e-61 3.7835013032603e-59 -2.45169118819494
"STARD13" 2.63823297574916e-61 4.43250621519356e-59 -2.05865146414825
"ANKRD1" 2.88968858006021e-61 4.80492650595785e-59 -5.39855992338106
"THSD1" 4.08584927561996e-61 6.7245574455586e-59 -2.24382501440276
"NECAB1" 5.07449817198282e-61 8.20748804774159e-59 -3.63900804355717
"ERG" 5.08865276690532e-61 8.20748804774159e-59 -2.19326780423428
"RXFP1" 5.81070033556507e-61 9.27928571409198e-59 -3.34759215014547
"UPK3B" 1.46824963588508e-60 2.32170572325397e-58 -5.58732029675068
"JPH4" 1.5222027534523e-60 2.38365128256623e-58 -2.79781285982855
"GOLM1" 1.78183562502658e-60 2.76338719192823e-58 2.44207878474437
"ADRA1A" 2.1425680131059e-60 3.29118852222715e-58 -3.77778844971011
"STARD8" 2.65360982872578e-60 4.03774272901114e-58 -2.21695438501627
"SRPK1" 2.77094064197996e-60 4.17686930976587e-58 1.554147109321
"ARHGEF26" 2.81600232762437e-60 4.20549088354199e-58 -2.81709502359903
"LYVE1" 3.55135158435444e-60 5.2550229086287e-58 -3.42750547806286
"ARHGAP6" 4.87499617479294e-60 7.14807393665776e-58 -2.51423565384809
"CA4" 6.20086879828642e-60 9.01025340969024e-58 -5.41654074632027
"CLIC5" 1.61492525090393e-59 2.3256365510562e-57 -4.43570954113157
"SLC39A8" 1.6545274728629e-59 2.36158173538103e-57 -2.72637260248219
"TMEM100" 2.00001756856748e-59 2.82967397924779e-57 -4.92743799307088
"CD101" 2.183924602256e-59 3.06300173128582e-57 -2.60006507902886
"TOP2A" 2.25580298103844e-59 3.13653847251457e-57 3.49589960019501
"STXBP6" 2.74189620644318e-59 3.77983281313864e-57 -3.99433078103989
"CAT" 3.37430006016436e-59 4.61221065003313e-57 -1.99163847787585
"EMCN" 4.05295110715438e-59 5.49328137876411e-57 -2.94948315784353
"FGFBP2" 5.10967414590723e-59 6.86782785827814e-57 -3.55470521952116
"TMEM177" 1.47639822505779e-58 1.96800222908736e-56 1.57033926351249
"PTPRB" 1.71392562799653e-58 2.26589397163574e-56 -2.71630060577319
"E2F8" 1.9599210746727e-58 2.57004609865008e-56 2.98047751960257
"MGAT3" 1.9811571291387e-58 2.5769422045063e-56 -3.77187622615438
"ADRB2" 2.99888200584092e-58 3.86951742977666e-56 -3.39780753771202
"HIGD1B" 3.20879184345977e-58 4.10750822564783e-56 -2.98965391993138
"PRKCE" 4.06136085675999e-58 5.15792828808518e-56 -1.7904739324499
"COL10A1" 6.6035429072153e-58 8.26092214702422e-56 4.55087762159978
"CAV3" 6.60709874738747e-58 8.26092214702422e-56 -2.5708572050761
"TMEM184A" 7.5496203697888e-58 9.36675591879412e-56 2.9678371054923
"ETV4" 9.13171270276005e-58 1.12431598612837e-55 3.53814559980882
"CACNA1S" 9.52918324034817e-58 1.16436512487557e-55 -2.94751512612778
"LGI3" 9.64728946710976e-58 1.16993332191739e-55 -6.40903154795857
"FEZ1" 1.03649954436479e-57 1.24758963813878e-55 -2.23516719750098
"UHRF1" 1.13224603529268e-57 1.35274046690635e-55 3.05805310690061
"C14orf132" 1.78192478903306e-57 2.11328418546428e-55 -2.9317890499837
"KANK2" 2.04338245203126e-57 2.40567266925637e-55 -1.61030517027847
"UBE2T" 2.08767953783768e-57 2.44001328012927e-55 2.93630706548034
"SOX7" 2.73603969197616e-57 3.17479022963191e-55 -2.92881504765103
"MMRN2" 5.33189039216084e-57 6.14271858108302e-55 -2.17183741808556
"FMO2" 8.66125963938511e-57 9.90762104422996e-55 -3.60733569197764
"SOX17" 9.10137220967659e-57 1.03377487584418e-54 -2.64021428860464
"LIN7A" 1.58085323605288e-56 1.78304768141936e-54 -3.04556510402292
"NCKAP5" 2.35331340451161e-56 2.63587443759498e-54 -4.29208837220146
"SFXN1" 3.84628759029817e-56 4.27839810647718e-54 1.45306132604777
"MCEMP1" 5.79068681499649e-56 6.39712244103277e-54 -4.97198424554521
"TUBB3" 5.88812543763658e-56 6.46051531861499e-54 4.05951777192418
"INMT" 7.59592813289912e-56 8.27802194969796e-54 -4.10200094870457
"EZH2" 9.60013438066289e-56 1.03919843909874e-53 2.35313492319986
"CDC25C" 1.00481641840962e-55 1.08044560083525e-53 3.16419777870949
"NPR1" 1.01277909237549e-55 1.08179562787578e-53 -3.00395632238461
"PDLIM2" 1.12267232131094e-55 1.19128828094896e-53 -2.01170843174788
"PAICS" 1.59616778860701e-55 1.68265295832957e-53 1.76728404704852
"ST8SIA6" 1.72284328947465e-55 1.80248528847367e-53 -3.67265361505493
"ORC6" 1.73219182660685e-55 1.80248528847367e-53 2.72207795850836
"ALAS2" 1.8532644356134e-55 1.91610910782106e-53 -3.18091343820704
"PTPN5" 3.22989588883342e-55 3.31815227968116e-53 -2.94661711699992
"CD36" 3.35151543705015e-55 3.42130332178366e-53 -3.62840908993209
"CTHRC1" 3.82554968517299e-55 3.88064722466384e-53 3.64742200097548
"B3GNT3" 4.49673049395075e-55 4.53298538355823e-53 4.15528844896091
"TNNC1" 6.18138630545928e-55 6.19252047954986e-53 -4.25736089903946
"GPR146" 6.81712645212418e-55 6.78724892261179e-53 -2.26526831026058
"BUB1B" 9.10742811826501e-55 9.01188393371144e-53 3.0398824587327
"AOC3" 9.4735783727358e-55 9.31703326669852e-53 -2.86431728813605
"ERCC6L" 1.06873959632508e-54 1.04470914843196e-52 2.81364290063776
"KIF4A" 1.54533542201469e-54 1.50148885672741e-52 3.40578130544951
"SPAG5" 1.64628797070829e-54 1.58999872332659e-52 2.78368207732783
"HJURP" 1.95171622426143e-54 1.87376374887575e-52 3.41756902687443
"TCF21" 2.97166303223086e-54 2.8360918962634e-52 -3.67101537254302
"BTNL9" 3.25453602904398e-54 3.08778891837943e-52 -3.90766649560216
"NLRC4" 3.37966460226398e-54 3.18775499239273e-52 -2.19559381257254
"KIF20A" 3.54658161535179e-54 3.32574505081448e-52 2.89262514961676
"KIF14" 3.95162435621138e-54 3.68414735499037e-52 3.27896875304969
"PLK1" 4.22158705297689e-54 3.91321710215312e-52 2.89899663579624
"GIMAP6" 4.70081893777353e-54 4.3325433512771e-52 -2.24110062395043
"GLIPR2" 5.53189590559265e-54 5.06954256030135e-52 -2.32133992404195
"MYO19" 6.23604797217307e-54 5.6825546747559e-52 1.60705716680573
"FRMD3" 7.95998528107473e-54 7.21273048305923e-52 -2.62457345648346
"SPTBN1" 9.21812174666288e-54 8.30609417049864e-52 -1.71847296147021
"NEK2" 1.08058761390518e-53 9.68266534704258e-52 3.30533324896572
"XRCC2" 1.27249072713703e-53 1.13392281425377e-51 2.80014239553514
"FAM110D" 1.51948566950595e-53 1.34658155843195e-51 -2.33306255452685
"LRRC32" 1.65269452752686e-53 1.45662896363283e-51 -2.21380038108254
"CD93" 1.90755792653369e-53 1.6721196628838e-51 -2.28665752150645
"FGF10" 2.40792528265989e-53 2.09932037210926e-51 -3.40519525972155
"SEMA6A" 2.59253907980911e-53 2.24812165689469e-51 -2.72884984759515
"RBP2" 3.18948185826476e-53 2.75097074288515e-51 -3.52554508156316
"STIL" 4.57849815626937e-53 3.92801046608876e-51 2.30005665905411
"RHOJ" 4.76009390809143e-53 4.06219865839188e-51 -1.90182356972198
"CNTN6" 5.5697310442901e-53 4.72811536912395e-51 -4.60492160778394
"CSRNP1" 5.68473116908475e-53 4.80047272388314e-51 -2.21604510500643
"ARHGEF39" 6.70041990694632e-53 5.62870170203839e-51 2.18466663335375
"HBA2" 8.14301707548681e-53 6.80511515080449e-51 -4.76734928509299
"MEX3A" 1.31146654488076e-52 1.09034246919494e-50 3.62117693989648
"GRIA1" 1.32150221715418e-52 1.09305175694768e-50 -4.77740915196958
"MND1" 1.39572561718928e-52 1.14855400406357e-50 2.57482916622505
"TGFBR3" 1.89390831923371e-52 1.54674317080278e-50 -2.8627458419683
"CDC20" 1.89878571404892e-52 1.54674317080278e-50 3.42364813445466
"KIF26B" 2.01772212721777e-52 1.63536885376359e-50 2.96585530086735
"PPAT" 2.07335681805033e-52 1.67205860591669e-50 1.80029695457069
