"pvalue" "adjpvalue" "logFC" "score"
"A1BG" 0.972041665962839 0.982559038500986 -0.00151021884166591 0.0279583340371612
"A1CF" 0.00208424298169422 0.00728959615666967 0.4147338947 0.997915757018306
"A2M" 4.65741238741449e-08 6.00391181031056e-07 -1.09020685448333 0.999999953425876
"A2ML1" 0.02585419882781 0.0608572379302312 0.277897790966667 0.97414580117219
"A3GALT2" 0.147187716113859 0.248759169301629 -0.0805398106916665 0.852812283886141
"A4GALT" 0.897320657026474 0.932659522710327 -0.0114469925416661 0.102679342973526
"A4GNT" 0.0395713334486307 0.0862146521922978 0.2817260067 0.960428666551369
"AAAS" 0.0320555247304455 0.0724322020098421 0.137294038116666 0.967944475269555
"AACS" 0.00035314463086995 0.0015649908420445 0.379624565583334 0.99964685536913
"AADAC" 2.60461519994204e-05 0.000160164152565705 -1.135642838525 0.999973953848001
"AADACL2" 0.0531450582705478 0.109954928119542 -0.175910282116666 0.946854941729452
"AADACL3" 0.16758606246104 0.275419333199001 0.0797426502500005 0.83241393753896
"AADACL4" 0.553900795560217 0.667623802414822 -0.0280777692083333 0.446099204439783
"AADAT" 0.674352552066934 0.767846626741326 0.0732909361083333 0.325647447933066
"AAGAB" 0.00341187672892942 0.0110595771810774 0.19240816045 0.996588123271071
"AAK1" 0.769882884961723 0.841615030990223 -0.0219646017583335 0.230117115038277
"AAK1.1" 0.00577133971869016 0.0173741177088528 -0.1674302817 0.99422866028131
"AAMDC" 1.53328353684866e-10 3.50644349820308e-09 -0.548367428766668 0.999999999846672
"AAMP" 1.13264360685535e-05 7.66298024139941e-05 0.296907536133333 0.999988673563931
"AANAT" 0.501950299887553 0.624107437931358 0.0436491528416673 0.498049700112447
"AAR2" 0.23849149648577 0.360673604333831 -0.0732799609999997 0.761508503514229
"AARD" 5.91647547259605e-06 4.30830596494411e-05 -0.741200403366666 0.999994083524527
"AARS1" 0.0172690217836272 0.0434394636056464 0.214506236575 0.982730978216373
"AARS2" 0.000689735101810378 0.00280169021180463 0.214235504416666 0.99931026489819
"AARSD1" 4.18395028269213e-06 3.20441368709715e-05 0.310693963383333 0.999995816049717
"AASDH" 0.000578538839424405 0.00240708639411134 0.295597028658333 0.999421461160576
"AASDHPPT" 0.035449539138781 0.0786738067477719 0.206952087091667 0.964550460861219
"AASS" 0.00199137117827188 0.00701758915764162 -0.532747276833333 0.998008628821728
"AATF" 0.391519920628334 0.521154856179891 0.0717194239916671 0.608480079371666
"AATK" 0.0732828316648518 0.142679065139523 -0.0927427967499998 0.926717168335148
"AATK.1" 9.6249144897603e-05 0.000508864591188464 -0.262610745433333 0.999903750855102
"ABAT" 0.0719798143089023 0.140492281976101 0.257768738233334 0.928020185691098
"ABCA1" 0.000137310789971369 0.000692940498227605 -0.601520196733332 0.999862689210029
"ABCA10" 3.1538479651159e-07 3.24182372414281e-06 -0.877710930533333 0.999999684615203
"ABCA12" 5.19910755656086e-10 1.06546244049983e-08 1.66699036753333 0.999999999480089
"ABCA13" 0.00420943118644114 0.0132854219572068 0.894887626066667 0.995790568813559
"ABCA2" 0.0583267965989024 0.118621507609764 0.126316205616667 0.941673203401098
"ABCA3" 2.16439096143158e-06 1.79492804572224e-05 -1.30719898510833 0.999997835609039
"ABCA4" 0.00026869187545699 0.00123471819474706 0.637538727183334 0.999731308124543
"ABCA5" 0.288227587753553 0.415583963737682 0.119210998366666 0.711772412246447
"ABCA6" 2.39534203180913e-09 4.143581034653e-08 -1.3536015348 0.999999997604658
"ABCA7" 0.000234339311333483 0.00109541568940712 0.27381313635 0.999765660688667
"ABCA8" 4.93899894132883e-14 2.32430480299161e-12 -2.146831182675 0.999999999999951
"ABCA9" 1.01039133633024e-09 1.91396147415417e-08 -1.33836030946667 0.999999998989609
"ABCB1" 9.79648954893035e-08 1.15814431531846e-06 -0.826868510325 0.999999902035104
"ABCB10" 0.281799690103322 0.409124884605849 0.0453497052000007 0.718200309896678
"ABCB11" 0.0944376443976978 0.175370086059431 0.0994075697083336 0.905562355602302
"ABCB4" 8.05057621945742e-05 0.000433731733975182 0.417176234766667 0.999919494237805
"ABCB5" 0.950729825589115 0.968383771361927 0.00360081594166682 0.0492701744108848
"ABCB6" 8.42910787790151e-06 5.89192830549093e-05 0.5370433927 0.999991570892122
"ABCB7" 0.459357613983211 0.585935223113586 -0.0715946238083336 0.540642386016789
"ABCB7.1" 0.338677547348388 0.467810488698919 0.0964908321666664 0.661322452651612
"ABCB8" 0.000332276879827904 0.00148702279171379 0.232909254283334 0.999667723120172
"ABCB8.1" 0.113732540065811 0.203255393182126 0.123732622516668 0.886267459934189
"ABCB9" 4.19938778642648e-07 4.19294700761295e-06 0.366268901050001 0.999999580061221
"ABCC1" 0.379807711670007 0.509558604720425 -0.0894277055333337 0.620192288329993
"ABCC10" 1.2563224852619e-06 1.11375297944461e-05 0.2954686879 0.999998743677515
"ABCC11" 0.0352132091631104 0.0782115290521489 0.0924568692916671 0.96478679083689
"ABCC12" 0.00628241092565449 0.0186751119296853 0.144262274175 0.993717589074345
"ABCC2" 0.328892945764029 0.457672460633541 0.221199361675 0.671107054235971
"ABCC3" 2.87551324989932e-18 3.1202849744428e-16 2.05248807660833 1
"ABCC4" 0.139121510808363 0.238169977742577 -0.274951731966667 0.860878489191637
"ABCC5" 0.000100585262073603 0.000528925731905618 0.418354117958334 0.999899414737926
"ABCC6" 0.235738907771753 0.357451930806082 0.091230165891667 0.764261092228247
"ABCC6.1" 0.635390156724263 0.736236312104719 0.0469546993083334 0.364609843275737
"ABCC8" 0.0557257896034059 0.114199860540873 -0.114248013466667 0.944274210396594
"ABCC9" 5.35386085203434e-14 2.49548693174775e-12 -1.49518539114167 0.999999999999946
"ABCD1" 0.0449295478566283 0.0957209631984237 0.157430919058333 0.955070452143372
"ABCD2" 0.930715350891282 0.954375845399978 -0.014300155616667 0.0692846491087178
"ABCD3" 0.000295902178856123 0.0013426973868634 0.411933144025 0.999704097821144
"ABCD4" 0.88494069224136 0.924762786637795 0.00736405458333337 0.11505930775864
"ABCE1" 0.377275985448414 0.506893230311469 0.128809694475 0.622724014551586
"ABCF1" 0.951118587075006 0.968575764186821 0.00787188805833332 0.0488814129249944
"ABCF1.1" 0.00705445128399797 0.0206031753516495 0.214558522858334 0.992945548716002
"ABCF2" 0.00786030210697856 0.0225586627699179 0.189138909175 0.992139697893021
"ABCF3" 0.0173750647145409 0.0436443747749174 0.127013301925 0.982624935285459
"ABCG1" 3.2502645330571e-06 2.58144230705999e-05 -0.5123101711 0.999996749735467
"ABCG2" 8.11396951765597e-13 2.96948576651992e-11 -1.23862084156667 0.999999999999189
"ABCG4" 0.817803504819697 0.876410362660704 0.0105045716166675 0.182196495180303
"ABCG5" 0.20544809462244 0.321662383750819 0.061391186675 0.79455190537756
"ABCG8" 0.579119218006027 0.688974911026539 0.0322363257 0.420880781993973
"ABHD1" 0.134188603118819 0.231674630384594 0.0855225483500005 0.865811396881181
"ABHD10" 0.18224006791718 0.293513815472746 0.133316294358333 0.81775993208282
"ABHD11" 1.24607861530467e-08 1.81340650945605e-07 0.611142464475001 0.999999987539214
"ABHD12" 0.004600586814129 0.0143111309838106 0.188954114950001 0.995399413185871
"ABHD12B" 0.501182658807053 0.623405982198698 -0.0810174981833331 0.498817341192947
"ABHD13" 0.611129657621337 0.715249128863469 -0.0511056900416656 0.388870342378663
"ABHD14A" 0.926839503970661 0.951691667326342 -0.00961315619166658 0.0731604960293386
"ABHD14A.ACY1" 0.000616754357061139 0.00254548026065174 0.365415032874999 0.999383245642939
"ABHD14B" 0.186079603948562 0.297994795233728 0.0749680678166666 0.813920396051438
"ABHD15" 0.000211837089733217 0.00100563402102327 0.197132801958334 0.999788162910267
"ABHD16A" 0.02630604767473 0.0616829284532929 0.134674433966668 0.97369395232527
"ABHD16A.1" 0.0213878473013546 0.0518760295813249 0.1360088944 0.978612152698645
"ABHD16B" 0.0834635775025953 0.158272033073666 0.106780318375001 0.916536422497405
"ABHD17A" 1.97548680063042e-05 0.000125182534770642 -0.248221778716668 0.999980245131994
"ABHD17A.1" 0.238638465093319 0.360784116989668 0.0975169976416666 0.76136153490668
"ABHD17B" 2.20285051016224e-05 0.000138022683552995 -0.301266177491667 0.999977971494898
"ABHD17C" 0.00698827062101956 0.0204404560773569 0.292090996208334 0.99301172937898
"ABHD18" 0.0527206902805078 0.109152452155022 0.164906422375 0.947279309719492
"ABHD2" 0.937655830597905 0.958697545516442 0.00986553917500061 0.0623441694020949
"ABHD3" 0.0624776255522839 0.125456305473587 0.247721636325 0.937522374447716
"ABHD4" 0.338479697881735 0.467570271582281 0.108470006733334 0.661520302118265
"ABHD5" 2.4572140729191e-07 2.60792447530682e-06 -0.524002011541666 0.999999754278593
"ABHD6" 4.54905450998824e-14 2.17220133447605e-12 -0.774926463783333 0.999999999999954
"ABHD8" 0.268399822873396 0.394866180091708 -0.0552192489749998 0.731600177126604
"ABI1" 0.285783762631115 0.413066672897104 -0.102430728983334 0.714216237368885
"ABI2" 0.000279025451061254 0.00127433502955917 -0.3186738651 0.999720974548939
"ABI3" 0.0352797200537686 0.0783325298601752 -0.161439780433333 0.964720279946231
"ABI3BP" 2.66925588876478e-12 8.64276209778571e-11 -1.88419355528333 0.999999999997331
"ABITRAM" 0.125874997808682 0.220084038245619 -0.189290022825 0.874125002191318
"ABL1" 0.0279943099402661 0.0648090176782121 -0.155204105358332 0.972005690059734
"ABL2" 0.65676360557182 0.754106250621297 0.0362729629250004 0.34323639442818
"ABLIM1" 1.78793805491885e-10 4.01361266811093e-09 -0.941066916583334 0.999999999821206
"ABLIM2" 0.362370319810864 0.492745981847592 -0.0656476338333331 0.637629680189136
"ABLIM3" 1.37556097238145e-10 3.16800775832662e-09 -0.830814512541667 0.999999999862444
"ABO" 0.0072905045056064 0.0211974918854389 0.318777132033334 0.992709495494394
"ABR" 0.967908532534371 0.980001744019715 0.00372345446666648 0.0320914674656285
"ABRA" 0.151042961718315 0.253861363369939 0.0624601363416669 0.848957038281685
"ABRACL" 0.0149983136012916 0.0385924986341535 0.320661517033334 0.985001686398708
"ABRAXAS1" 0.330021604465282 0.45880708536496 -0.120264653333334 0.669978395534718
"ABRAXAS2" 0.0342306760590251 0.076455295452054 -0.199936385941666 0.965769323940975
"ABT1" 0.237826219074808 0.360002019728026 -0.0849638698916668 0.762173780925192
"ABTB1" 3.48575041814272e-06 2.73620199623502e-05 -0.302354192775 0.999996514249582
"ABTB2" 0.000117634114970229 0.000604736579460008 0.291726847566667 0.99988236588503
"ABTB3" 0.0388733063664033 0.085006793565766 0.205559869566667 0.961126693633597
"ABTB3.1" 0.583595489083108 0.692233216021445 0.0325087349 0.416404510916892
"ACAA1" 0.132745679075904 0.229528385334432 -0.0923756082333332 0.867254320924096
"ACAA1.1" 0.141408616932192 0.241113173449076 0.161978352141667 0.858591383067808
"ACAA2" 0.00956929493244183 0.0265692820629214 -0.303898755691667 0.990430705067558
"ACACA" 0.0293578273407845 0.0673350989977125 0.244983502216666 0.970642172659215
"ACACB" 8.11933128172882e-13 2.96948576651992e-11 -0.726532137558333 0.999999999999188
"ACAD10" 0.00706390834475834 0.0206277108213413 0.161638033525 0.992936091655242
"ACAD11" 0.41156277775413 0.539342484703627 -0.0804490367500004 0.58843722224587
"ACAD8" 9.5743043384876e-09 1.43835510562048e-07 0.749451661191667 0.999999990425696
"ACAD9" 0.354368559803009 0.484693437850105 -0.06217612415 0.645631440196991
"ACADL" 9.5420689923272e-11 2.28098662692962e-09 -1.94646830560833 0.999999999904579
"ACADM" 0.468844551644086 0.594618747555621 -0.0969868022166673 0.531155448355914
"ACADS" 0.148226658625133 0.250074865493162 -0.0826411326499992 0.851773341374867
"ACADSB" 0.613460414564837 0.717418077631812 -0.0761532584333329 0.386539585435163
"ACADVL" 0.602774783845228 0.708207436744992 0.0448230100750007 0.397225216154772
"ACAN" 0.214354748953665 0.33224986087818 0.0867663780750005 0.785645251046335
"ACAP1" 0.171645930303981 0.280522595718557 0.0982555786500007 0.828354069696019
"ACAP2" 0.00504079146886463 0.0154620162379341 -0.2578117689 0.994959208531135
"ACAP3" 0.0163954275419782 0.0416117868609271 0.188776830908334 0.983604572458022
"ACAT1" 3.21905755703959e-05 0.000193262201318731 -0.583628932583334 0.99996780942443
"ACAT2" 0.528930211275761 0.646473936179711 -0.0714864850749997 0.471069788724239
"ACBD3" 0.0581313305448386 0.118297893668927 0.132820320975 0.941868669455161
"ACBD4" 0.0769142634869856 0.148359774453605 0.109905163400001 0.923085736513014
"ACBD5" 0.215050930645529 0.333086650961534 -0.142859725141666 0.784949069354471
"ACBD6" 0.00821315421783883 0.0234096470920012 0.201477328975 0.991786845782161
"ACBD7" 0.044835189946934 0.095561634799042 0.189781415508334 0.955164810053066
"ACCS" 0.16764048430424 0.27547485557104 0.105322861641667 0.83235951569576
"ACCSL" 0.485543593126986 0.609856992331985 0.0429622133500009 0.514456406873014
"ACD" 0.549702575879229 0.664049688063422 0.0262060403833336 0.450297424120771
"ACER1" 0.376081005970223 0.505600746650958 0.0442917863750005 0.623918994029777
"ACER2" 0.0340366724260372 0.0760654780272923 0.195876371783334 0.965963327573963
"ACER3" 0.000191679829803905 0.000920911949832783 -0.530447483066666 0.999808320170196
"ACHE" 0.114662946717474 0.204545793696772 0.112297101858333 0.885337053282526
"ACHE.1" 1.45995504613696e-06 1.27006334303139e-05 0.404951179058334 0.999998540044954
"ACIN1" 0.0124852001046631 0.0331479007672744 0.186285511675 0.987514799895337
