Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
STX12	23673	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.97	1
TAF13	6884	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.97	1
TAX1BP1	8887	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|tremolite	8.97	2
TOR1B	27348	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.97	1
TUB	7275	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.97	1
XPO6	23214	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.97	1
ANKRD33B	651746	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.96	2
CAPN3	825	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
CCSER1	401145	Adenocarcinoma of Lung	MESH:D000077192		Genistein|trichostatin A|Vehicle Emissions	8.96	2
CD27	939	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
CRYAA	1409	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.96	2
DGKI	9162	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
DNAAF3	352909	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|trichostatin A|Urethane	8.96	5
ESYT1	23344	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
ETNK2	55224	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
F8	2157	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Asbestos, Amphibole|ethylene dichloride	8.96	2
GALNT18	374378	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.96	2
GPR176	11245	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
HDAC8	55869	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.96	2
L2HGDH	79944	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
LAMTOR3	8649	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
LRG1	116844	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|N-nitroso-tris-chloroethylurea|Particulate Matter	8.96	6
MIR221	407006	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
MST1R	4486	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
NEXMIF	340533	Adenocarcinoma of Lung	MESH:D000077192		Genistein|trichostatin A|Vehicle Emissions	8.96	2
NXT2	55916	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
PGLYRP1	8993	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
PI3	5266	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Paclitaxel|Particulate Matter	8.96	6
PIGL	9487	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Particulate Matter|trichostatin A	8.96	4
PITPNA	5306	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
RAB11FIP4	84440	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Urethane	8.96	2
RAB3C	115827	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
RSL24D1	51187	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
RUFY3	22902	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
SHROOM3	57619	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
SMARCD3	6604	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Urethane|Vehicle Emissions	8.96	4
SYNJ2BP	55333	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
SYNPO2	171024	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
TMEM18	129787	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|trichostatin A|Vehicle Emissions	8.96	4
TTC9	23508	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
UXS1	80146	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
WRNIP1	56897	Adenocarcinoma of Lung	MESH:D000077192		Resveratrol|trichostatin A|Vehicle Emissions	8.96	3
ZDHHC14	79683	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.96	2
